Kana Chen Jue,장원영,-,Individual Trainees,D,2004,t,74
GoGo Gou Xueying,宮脇咲良,미야와키 사쿠라,Individual Trainees,B,1998,t,40
Victoria Li Yichen,조유리,-,Individual Trainees,D,2001,t,77
Ranee Wang Wanchen,최예나,-,Individual Trainees,D,1999,t,93
Zoe Wang Xinyu,안유진,-,Individual Trainees,B,2003,t,72
Hikari Xia Yan,矢吹奈子,야부키 나코,Individual Trainees,C,2001,t,45
Pumpkin Xu Baiyi,권은비,-,Individual Trainees,D,1995,t,90
Bunny Zhang Chuhan,강혜원,-,Individual Trainees,A,1999,t,1
Yume Ma Shujun,本田仁美,혼다 히토미,Individual Trainees,A,2001,t,6
Yeong Quan Xiaoying,김채원,-,Ladybees Multimedia,F,2000,t,87
XIN Liu Yuxin,김민주,-,AMG Asian Music Group,A,2001,t,81
Juicy Zuo Zhuo,이채연,-,Bymoon Entertainment,D,2000,t,85
Mizuki Lin Huibo,한초원,-,Banana Entertainment,B,2002,e,31
Hannah Du Ziyi,이가은,-,Banana Entertainment,F,1994,e,67
Suzanne Su Qinrou,宮崎美穂,미야자키 미호,Banana Entertainment,D,1993,e,10
Sophia Wang Shuhui,竹内美宥,타케우치 미유,Banana Entertainment,B,1996,e,21
Eileen Ai Lin,白間美瑠,시로마 미루,South Fest,F,1997,e,63
Shaking Xie Keyin,下尾みう,시타오 미우,J N E R A,A,2001,e,19
Meddhi Fu Ruqiao,高橋朱里,타카하시 쥬리,M.Nation,C,1997,e,20
Flora Dai Yanni,박해윤,-,Cool Young Entertainment,B,1996,e,35
Weiwei Duan Xiaowei,김나영,-,Mon Young Pictures,D,2002,e,23
Kiki Wei Qiqi,村瀬紗英,무라세 사에,Mon Young Pictures,C,1997,e,61
Yvonne Wang Qing,김도아,-,D.Wang Entertainment,C,2003,e,33
Jade Zhang Yu,後藤萌咲,고토 모에,D.Wang Entertainment,C,2001,e,5
Eva Yao Yifan,장규리,-,One Cool Jasco,D,1997,e,76
Jennifer Zhou Ziqian,허윤진,-,One Cool Jasco,F,2001,e,66
Luna Qinniu Zhengwei,김시현,-,Digital Mars Entertainment,F,1999,e,94
ET Yang Yutong,岩立沙穂,이와타테 사호,Digital Mars Entertainment,C,1994,e,8
Heart Cheng Manxin,王怡人,왕이런,Encore Music,C,2000,e,95
Rio Wang Rui,나고은,-,Feibao Media,C,1999,e,68
Wang Yaoyao,이시안,-,Hot Idol,F,1999,e,78
Roada Xu Ziyin,村川緋杏,-,Hot Idol,D,1999,e,42
Ice Shen Bing,고유진,-,Alliance Art Group,D,2000,e,24
Ali Shen Jie,손은채,-,Alliance Art Group,C,1999,e,52
Claire Shen Qing,千葉恵里,치바 에리이,Alliance Art Group,F,2003,e,4
Jade Shen Yu,小嶋真子,코지마 마코,Alliance Art Group,F,1997,e,9
Hamy He Meiyan,김민서,-,Hedgehog Brothers Entertainment,D,2002,e,46
Sunny Jin Yangyang,배은영,-,Hippo Film,D,1997,e,75
Monster Sun Meinan,武藤十夢,무토 토무,Hippo Film,F,1994,e,12
Zizi Xu Zhenzhen,浅井七海,아사이 나나미,Hippo Film,D,2000,e,3
Zhang Menglu,中西智代梨,나카니시 치요리,Hippo Film,F,1995,e,14
Uah Liu Yanan,山田野絵,야마다 노에,Huayi Brothers,D,1999,e,59
