Kana Chen Jue,Individual Trainees,D,t,34,74
GoGo Gou Xueying,Individual Trainees,B,t,-,40
Victoria Li Yichen,Individual Trainees,D,t,-,77
Ranee Wang Wanchen,Individual Trainees,D,t,-,93
Zoe Wang Xinyu,Individual Trainees,B,t,-,72
Hikari Xia Yan,Individual Trainees,C,t,-,45
Pumpkin Xu Baiyi,Individual Trainees,D,t,,90
Bunny Zhang Chuhan,Individual Trainees,A,t,27,1
Yume Ma Shujun,Individual Trainees,A,t,-,6
Yeong Quan Xiaoying,Ladybees Multimedia,F,t,,87
XIN Liu Yuxin,AMG Asian Music Group,A,t,2,81
Juicy Zuo Zhuo,Bymoon Entertainment,D,e,35,85
Mizuki Lin Huibo,Banana Entertainment,B,e,,31
Hannah Du Ziyi,Banana Entertainment,F,e,,67
Suzanne Su Qinrou,Banana Entertainment,D,e,,10
Sophia Wang Shuhui,Banana Entertainment,B,e,,21
Eileen Ai Lin,South Fest,F,e,,63
Shaking Xie Keyin,J N E R A,A,e,4,19
Meddhi Fu Ruqiao,M.Nation,C,e,32,20
Flora Dai Yanni,Cool Young Entertainment,B,e,17,35
Weiwei Duan Xiaowei,Mon Young Pictures,D,e,-,23
Kiki Wei Qiqi,Mon Young Pictures,C,e,,61
Yvonne Wang Qing,D.Wang Entertainment,C,e,-,33
Jade Zhang Yu,D.Wang Entertainment,C,e,28,5
Eva Yao Yifan,One Cool Jasco,D,e,,76
Jennifer Zhou Ziqian,One Cool Jasco,F,e,,66
Luna Qinniu Zhengwei,Digital Mars Entertainment,F,e,-,94
ET Yang Yutong,Digital Mars Entertainment,C,e,,8
Heart Cheng Manxin,Encore Music,C,e,,95
Rio Wang Rui,Feibao Media,C,e,,68
Wang Yaoyao,Hot Idol,F,e,,78
Roada Xu Ziyin,Hot Idol,D,e,19,42
Ice Shen Bing,Alliance Art Group,D,e,,24
Ali Shen Jie,Alliance Art Group,C,e,,52
Claire Shen Qing,Alliance Art Group,F,e,,4
Jade Shen Yu,Alliance Art Group,F,e,,9
Hamy He Meiyan,Hedgehog Brothers Entertainment,D,e,,46
Sunny Jin Yangyang,Hippo Film,D,e,-,75
Monster Sun Meinan,Hippo Film,F,e,-,12
Zizi Xu Zhenzhen,Hippo Film,D,e,-,3
Zhang Menglu,Hippo Film,F,e,-,14
Uah Liu Yanan,Huayi Brothers,D,e,,59
Aishah Ah Yixia,Love & Peace,F,e,,56
Yu Yan,Joinhall Media,A,e,3,41
Poppy Liu Haihan,Jaywalk Newjoy,D,e,,47
Tonkey Tang Keyi,Jaywalk Newjoy,D,e,,36
Yealy Wang Yale,Jaywalk Newjoy,F,e,,17
Bubble Zhu Linyu,Jaywalk Newjoy,B,e,31,57
Kelly Lin Weixi,Lionheart Entertainment,B,e,,28
Jacqueline Zhang Tianxin,Lehui Media,C,e,,2
Hana Lin Xiaozhai,Good@ Media,D,e,33,88
Joey Chua Zhuoyi,Maninquin Entertainment,D,e,26,48
Snow Kong Xueer,Mountain Top Entertainment,B,e,8,11
Lana Zhao Xiaotang,Mountain Top Entertainment,C,e,5,50
Yennis Huang Xinyuan,M+ Entertainment,D,e,-,30
Nikita Huang Yiming,M+ Entertainment,F,e,,89
Yuni Xiong Yuqing,M+ Entertainment,C,e,,15
Liu Lingzi,OACA,B,e,10,71
Milla Mi La,OACA,C,e,,82
Seven Zou Siyang,OACA,D,e,,39
Jenny Zeng Keni,OACA,B,e,16,80
Wang Mengyu Aurora,OACA,D,e,,92
Gia Jin Jiya,Off/Shore Music,F,e,,49
NaHo Qi Sui,Second Culture,B,e,-,32
Feng Ruohang,Shengyuan Inter Entertainment,D,e,-,58
Lynn Zhou Lincong,Shengyuan Inter Entertainment,D,e,,29
Zha Yichen,Shengyuan Inter Entertainment,B,e,,37
Joy Zhuoyi Namu,Channy Dynasty,C,e,,86
DDD Duan Yixuan,Shanghai Star48 Culture Media Group</br>SNH48,C,e,30,16
Momo Mo Han,Shanghai Star48 Culture Media Group</br>SNH48,D,e,22,26
Song Xinran,Shanghai Star48 Culture Media Group</br>SNH48,D,e,18,55
Three Sun Rui,Shanghai Star48 Culture Media Group</br>SNH48,F,e,15,43
Fei Qinyuan,Shanghai Star48 Culture Media Group</br>SNH48,C,e,-,60
Air Su Shanshan,Shanghai Star48 Culture Media Group</br>SNH48,F,e,-,84
Anne Hu Xinyin,Shangyue Culture</br>AKB48 Team SH,C,e,-,83
Kuliko Shen Ying,Shangyue Culture</br>AKB48 Team SH,D,e,,13
Babymonster An Qi,Star Master Entertainment,A,e,6,18
Verlina Mo Yao,Star Master Entertainment,D,e,,22
Frhanm Shangguan Xiai,Star Master Entertainment,A,e,14,69
Shirley Wen Zhe,Star Master Entertainment,D,e,,25
Jane Wang Siyu,Shinning Star Culture,D,e,,38
Vicky Wei Chen,Shinning Star Culture,B,e,-,62
Lil Reta Fu Jia,Yizong Cultural,F,e,,70
Jessie Fu Yaning,Gramarie Entertainment,D,e,-,91
Gia Ge Xinyi,Gramarie Entertainment,B,e,29,96
Dolly Zhang Luofei,Gramarie Entertainment,D,e,,34
Marco Lin Fan,TOV Entertainment,C,e,25,7
K Lu Keran,TOV Entertainment,C,e,13,73
Hazel Chen Yiwen,TOV Entertainment,C,e,,79
Ju Chen Pinxuan,TPG Culture,C,e,-,53
Sharon Wang Chengxuan,TPG Culture,A,e,12,51
Sheen Wang Xinming,TPG Culture,D,e,,54
Theia Zheng Yuxin,TPG Culture,A,e,,27
NINEONE Nai Wan,WR / OC,C,e,11,44
Vivi Chen Xinwei,Yuehua Entertainment,F,e,-,64
Aria Jin Zihan,Yuehua Entertainment,C,e,9,65
Kay Song Zhaoyi,Yuehua Entertainment,B,e,-,96
Thea Xi Ya,Yuehua Entertainment,F,e,,98
Ree Ai Yiyi,Yuehua Entertainment,D,e,,97
Esther Yu Shuxin,Huace Pictures,D,e,1,99
Kiki Xu Jiaqi,Shanghai Star48 Culture Media Group SNH48_7SENSES,B,e,7,100
Diamond Dai Meng,Shanghai Star48 Culture Media Group SNH48_7SENSES,C,e,20,101
Tako Zhang Yuge,Shanghai Star48 Culture Media Group SNH48_7SENSES,C,e,24,102
Eliwa Xuyang Yuzhuo,Shanghai Star48 Culture Media Group SNH48_7SENSES,B,e,23,103
Han Dong,Show City Times,D,e,-,104
BeeBee Huang Xiaoyun,Show City Times,D,e,,105
Wei Shuyu,Show City Times,F,e,,106
Xu Xinwen,Show City Times,B,e,21,107
Bobo Li Xining,Happy Jump Culture,F,e,,108
